review,normalized_review,sentiment,topics,summary
"This product consists of a piece of thin flexible insulating material, adhesive backed velcro and white electrical tape.Problems:1. Instructions are three pictures with little more information.2. Velcro was all crumpled as received and was stronger than the adhesive. When i tried to disengage the velcro both pieces came off and the paint from the ceiling.3. White electrical tape was horrible... cheap, narrow and it fell off in less than 1 hour.4. The price is a ripoff.I am building my own which is easier to use, cheaper, more attractive, and higher r-value. I am surprised Amazon even lists this junk.",product consists piece thin flexible insulating material adhesive backed velcro white electrical tapeproblems instructions three pictures little information velcro crumpled received stronger adhesive tried disengage velcro pieces came paint ceiling white electrical tape horrible cheap narrow fell less hour price ripoffi building easier use cheaper attractive higher rvalue surprised amazon even lists junk,positive,"electrical tape, material adhesive, adhesive",Error: '<' not supported between instances of 'NoneType' and 'int'
"Even on the lowest setting, the toast is too dark for my liking. Also, the on light stays lit so you have to unplug it to avoid wasting electricity. Not the quality I expected from Cuisinart.",even lowest setting toast dark liking also light stays lit unplug avoid wasting electricity quality expected cuisinart,negative,"toast dark, setting toast, lit unplug",Error: '<' not supported between instances of 'NoneType' and 'int'
I enjoyed this disc. The video is stunning. I agree with others that the story is very dumbed down and takes a childish approach. It actually seems like its a little one sided and VERY pro-environmental. Nevertheless its enjoyable. I would say however that the Amazon WMV HD disc is a better story and has better and sharper images and more interesting things to look at.,enjoyed disc video stunning agree others story dumbed takes childish approach actually seems like little one sided proenvironmental nevertheless enjoyable would say however amazon wmv hd disc better story better sharper images interesting things look,positive,"enjoyed disc, wmv hd, disc video",Error: '<' not supported between instances of 'NoneType' and 'int'
"The authors pretend that parents neither die nor divorce. Insisting the marriage is the rock upon which all else (behavior, well-being of the child) is built, they send a clear message to non-traditional households: this book is for people who play the game of life our way only, and everyone else can suffer the bad behavior they deserve to.",authors pretend parents neither die divorce insisting marriage rock upon else behavior wellbeing child built send clear message nontraditional households book people play game life way everyone else suffer bad behavior deserve,negative,"wellbeing child, behavior wellbeing, households book",Error: '<' not supported between instances of 'NoneType' and 'int'
"Might as well just use a knife, this product holds next to nothing. I found it to be a useless product.",might well use knife product holds next nothing found useless product,positive,"use knife, knife product, holds useless",Error: '<' not supported between instances of 'NoneType' and 'int'
"I think that the whole aspect of hitting the road and going on tour with a band is just about the coolest thing that a person can do. Thus, this book seemed like the perfect read for someone like me. But when I got the book I was dissapointed in the fact that it seems like the author took five or six stories from the 'The Babysiters Club' or some other book for young kids, rewrote them to include drug and music references, and than sold it. The writing is just not very good and the stories are all lame. A girl's mother realizes her 16 year old daughter is right about being on tour, a girl runs from the cops and gets away, a ticket is fake, ect. Those in themselves aren't even that bad but the way he writes makes it a boring read.",think whole aspect hitting road going tour band coolest thing person thus book seemed like perfect read someone like got book dissapointed fact seems like author took five six stories babysiters club book young kids rewrote include drug music references sold writing good stories lame girls mother realizes year old daughter right tour girl runs cops gets away ticket fake ect arent even bad way writes makes boring read,positive,"boring read, book like, book young",Error: '<' not supported between instances of 'NoneType' and 'int'
"I saw these movies originally in the theater, loved both and ordered them because I wanted to have it in my collection. I ordered it twice and neither of the DVDs worked. I would think you would check your merchandise before sending it out. I am so disappointed and can't believe that you could send out two defective DVDs and had not solved the problem after the first one plus some of the complaints I have read in the reviews. I am rating this with one star because of the quality of the DVD, not the films.Colleen",saw movies originally theater loved ordered wanted collection ordered twice neither dvds worked would think would check merchandise sending disappointed cant believe could send two defective dvds solved problem first one plus complaints read reviews rating one star quality dvd filmscolleen,negative,"defective dvds, twice dvds, dvds worked",Error: '<' not supported between instances of 'NoneType' and 'int'
"Would not fit my new Optima HD20 projector -- as projectors get smaller the mounting holes get closer together -- this mount had four arms and the projector had three -- the mount had arms that would not get short enough to reach the three projector holes -- for larger projectors may work better, but for mine would not recommend -- returning it was very easy and the company representatives very helpful -- so if you get it and it doesn't work, the company is easy to work with --",would fit new optima hd projector projectors get smaller mounting holes get closer together mount four arms projector three mount arms would get short enough reach three projector holes larger projectors may work better mine would recommend returning easy company representatives helpful get doesnt work company easy work,positive,"larger projectors, projectors smaller, projector projectors",Error: '<' not supported between instances of 'NoneType' and 'int'
"This is a great cd!!!!!!!!! It is the normal oops! cd plus three cool new songs. Also there are lots of added extras that are inhansed on the cd, for example you get the lucky video, a fact file, and a britney unscrambler!!!!! The three bonus tracks are really nice but I wish that they could have been a little more up tempo. Just to clear something up it says in the discription that there is an exclusive oops preformance but there isn't!",great cd normal oops cd plus three cool new songs also lots added extras inhansed cd example get lucky video fact file britney unscrambler three bonus tracks really nice wish could little tempo clear something says discription exclusive oops preformance isnt,positive,"cd plus, cd, inhansed cd",Error: '<' not supported between instances of 'NoneType' and 'int'
"The handle broke clean off after TWO WEEKS. Not the plastic part, actually at the weld where the metal meets the pan. Wasn't overheated, wasn't abused, used 4 times and broke.",handle broke clean two weeks plastic part actually weld metal meets pan wasnt overheated wasnt abused used times broke,negative,"handle broke, broke clean, weld metal",Error: '<' not supported between instances of 'NoneType' and 'int'
